			Grading Table - Team 31

| Section                  | Grade               | Note                                                                                                                                                                                                                                                                                                                                          |
|--------------------------|---------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Sprint Planning          | 4.5/9               | The product backlog and sprint backlog seem to have been reversed. I assessed one point penalty on each for that (-2).  The product backlog should be more or less the same as the feature list at this point, but it is missing many things (-1).  The task chart does not match what I believe is intended to be the sprint backlog (-1.5). |
| Scrums                   | 20.5/25             | Scrum 1:Task chart was missing distinct columns or designations for in progress, to do, and completed.                                                                                                                                                                                                                                        |
|                          |                     | Scrum 2:Same issue with task chart, and no explanation for new tasks added to chart.                                                                                                                                                                                                                                                          |
|                          |                     | Scrum 3:Same issue with task chart, and no explanation for new tasks added to chart.                                                                                                                                                                                                                                                          |
|                          |                     | Scrum 4:Same issue with task chart.  Kevin did not answer if he was facing any issues in his work.                                                                                                                                                                                                                                            |
|                          |                     | Scrum 5:Same issue with task chart.  Kevin did not answer if he was facing any issues in his work.                                                                                                                                                                                                                                            |
| Retrospective            | 4.0/6               | The process improvement discussion that was included was somewhat vague on the "why" aspect and did not completely address all of the process penalties given to the team (-2).  The text on the                                                                                                                                              |
| TDD                      | 4.3/12              |                                                                                                                                                                                                                                                                                                                                               |
| GitFlow                  | 12.0/12             |                                                                                                                                                                                                                                                                                                                                               |
| Continuous Integration   | 6.0/12              |                                                                                                                                                                                                                                                                                                                                               |
| Refactor                 | 10.7/12             |                                                                                                                                                                                                                                                                                                                                               |
| Coverage                 | 0.0/12              |                                                                                                                                                                                                                                                                                                                                               |
| ------------------------ | ------------------- |                                                                                                                                                                                                                                                                                                                                               |
| Total                    | 62.0                |                                                                                                                                                                                                                                                                                                                                               |
| ------------------------ | ------------------- |                                                                                                                                                                                                                                                                                                                                               |
| Implementation Score     | 17/250              |                                                                                                                                                                                                                                                                                                                                               |
